id,prix
4206_train,14.91831337868892
7679_train,13.155586222174618
8397_train,14.25417560646268
6429_train,16.23475348881287
5303_train,13.972606928163016
4350_train,-2.504869068111718
7170_train,18.724329408624484
7078_train,17.7476501501976
3686_train,6.492256347427186
336_train,13.134300360298523
653_train,14.277220087375765
6436_train,-0.08046952092014818
5037_train,17.670089248002782
2159_train,12.010481384046882
6247_train,64.99668588348389
1978_train,21.73468113543889
6106_train,15.601778154307551
7671_train,-3.698603769019671
7884_train,48.868325896432665
2436_train,21.784693908807398
8264_train,25.689562571892324
3790_train,17.711459922242952
1641_train,70.75657438607844
7162_train,21.53460593517478
86_train,28.34502039388711
648_train,0.40137337557346925
5266_train,16.899213713872754
8048_train,-14.29979523941917
6243_train,25.131362105969615
2040_train,-34.36272692215904
8080_train,35.431053882016144
5915_train,12.956023725785355
2525_train,23.493483537854203
515_train,-13.800130407367094
4075_train,22.672745740960394
5_train,47.40929205504902
6751_train,14.039509080338332
5169_train,26.341959109197646
4600_train,17.343287454527612
6336_train,19.68875541312694
891_train,17.6563295964322
4880_train,21.40049262078786
5871_train,13.449133305332664
6700_train,18.180346114607104
1240_train,25.781545946071432
2647_train,14.639118427311343
978_train,19.160793490113733
7028_train,20.076111072720536
7769_train,44.93497423442271
1012_train,36.758886911428576
533_train,25.236665448831204
8442_train,16.749143060313813
1433_train,15.765007629541953
7662_train,32.02078752884948
4744_train,23.582121323491023
1633_train,21.722415640850826
2550_train,16.030988909146558
3198_train,31.217415864247172
4593_train,16.201542648591143
7001_train,32.21153934319112
2203_train,33.513278011104134
1313_train,38.110218782489696
155_train,23.593471468414222
8527_train,40.66536927745868
5406_train,17.74448406223631
6242_train,22.85201517709605
4488_train,-3.333202267339645
3075_train,25.08333532333448
2727_train,13.76406536220996
1063_train,11.318167335167102
5880_train,18.841546761965887
8023_train,22.16301816924782
4176_train,17.6967487065874
2224_train,16.720314993423685
6624_train,88.19161794266505
4927_train,24.38424289426142
5103_train,22.743099085654407
4307_train,28.05771724040345
1456_train,12.9925103792509
439_train,26.40727725201826
7151_train,8.158155423809815
4920_train,23.849382217815887
4379_train,16.87265150370034
4841_train,31.449981737345965
5976_train,14.80599743665037
3902_train,57.52582992050405
5082_train,16.379315627028276
1188_train,31.045369143876755
1002_train,15.636185989295639
7067_train,17.043106759246015
6362_train,13.628760589856695
1146_train,17.09203268807572
5819_train,15.65508483765255
7802_train,13.383046031684655
2265_train,16.76651615738477
4617_train,23.34815831009722
3544_train,-10.265536912758096
